"","sample_id","dist_family","dist","size","mean","median","mean_median","sd","skewness","kurtosis","outliers_minor","outliers_extream","sigma_1_ratio","sigma_2_ratio","sigma_3_ratio","alternative"
"1","close_normal-tukey(0.1)-8","close_normal","tukey(0.1)",8,0,-0.00032,0.00032,1,-0.03276,2.04605,0,0,0.625,1,1,1
"2","close_normal-tukey(0.2)-8","close_normal","tukey(0.2)",8,0,-0.33046,0.33046,1,0.72178,2.43277,0,0,0.75,1,1,1
"3","close_normal-tukey(5)-8","close_normal","tukey(5)",8,0,0.27439,-0.27439,1,-1.26267,3.67275,1,0,0.875,0.875,1,1
"4","close_normal-t(10)-8","close_normal","t(10)",8,0,-0.08291,0.08291,1,0.22026,1.90012,0,0,0.625,1,1,1
"5","close_normal-laplace(0,10)-8","close_normal","laplace(0,10)",8,0,0.22078,-0.22078,1,-0.64686,2.4728,0,0,0.75,1,1,1
"6","sym_long_tail-t(1)-8","sym_long_tail","t(1)",8,0,0.18485,-0.18485,1,-0.65495,2.15494,0,0,0.625,1,1,1
"7","sym_long_tail-t(2)-8","sym_long_tail","t(2)",8,0,-0.32844,0.32844,1,2.18889,5.94546,1,1,0.875,0.875,1,1
"8","sym_long_tail-t(4)-8","sym_long_tail","t(4)",8,0,-0.2586,0.2586,1,0.74571,2.24909,0,0,0.625,1,1,1
"9","sym_long_tail-t(7)-8","sym_long_tail","t(7)",8,0,-0.07821,0.07821,1,-0.28644,2.25499,0,0,0.75,1,1,1
"10","sym_long_tail-tukey(10)-8","sym_long_tail","tukey(10)",8,0,-0.24878,0.24878,1,0.55178,3.10515,1,0,0.75,1,1,1
"11","sym_short_tail-uniform(0,1)-8","sym_short_tail","uniform(0,1)",8,0,-0.4447,0.4447,1,0.67431,2.12346,0,0,0.75,1,1,1
"12","sym_short_tail-beta(1.3,1.3)-8","sym_short_tail","beta(1.3,1.3)",8,0,0.34598,-0.34598,1,-1.13544,3.25255,0,0,0.875,0.875,1,1
"13","sym_short_tail-beta(1.5,1.5)-8","sym_short_tail","beta(1.5,1.5)",8,0,-0.06414,0.06414,1,-0.30064,2.48497,0,0,0.75,1,1,1
"14","sym_short_tail-tukey(1.5)-8","sym_short_tail","tukey(1.5)",8,0,-0.18651,0.18651,1,0.12975,1.36096,0,0,0.375,1,1,1
"15","sym_short_tail-truncatednormal(2,2)-8","sym_short_tail","truncatednormal(2,2)",8,0,-0.14655,0.14655,1,0.87938,2.72971,0,0,0.75,1,1,1
"16","asym_long_tail-Weibull(0.5,1)-8","asym_long_tail","Weibull(0.5,1)",8,0,-0.25975,0.25975,1,0.45782,1.80863,0,0,0.625,1,1,1
"17","asym_long_tail-Weibull(2,1)-8","asym_long_tail","Weibull(2,1)",8,0,-0.27817,0.27817,1,0.59548,1.96372,0,0,0.625,1,1,1
"18","asym_long_tail-lognormal(0,1)-8","asym_long_tail","lognormal(0,1)",8,0,-0.35006,0.35006,1,0.6828,2.17252,0,0,0.875,1,1,1
"19","asym_long_tail-chisquared(4)-8","asym_long_tail","chisquared(4)",8,0,0.05676,-0.05676,1,-0.25218,1.60571,0,0,0.5,1,1,1
"20","asym_long_tail-chisquared(10)-8","asym_long_tail","chisquared(10)",8,0,-0.18071,0.18071,1,1.2891,3.95694,1,0,0.75,0.875,1,1
