"","sample_id","dist_family","dist","size","mean","median","mean_median_diff","sd","skewness","kurtosis","outliers_minor_ratio","outliers_extream_ratio","sigma_1_ratio","sigma_2_ratio","sigma_3_ratio","alternative"
"1","close_normal-tukey(0.1)-8","close_normal","tukey(0.1)",8,0.32939,0.32901,0.000331506648309317,1.14628168677156,-0.03276,2.04605,0,0,0.625,1,1,1
"2","close_normal-tukey(0.2)-8","close_normal","tukey(0.2)",8,0.75115,0.42397,0.330453235229899,0.990094709686768,0.72178,2.43277,0,0,0.75,1,1,1
"3","close_normal-tukey(5)-8","close_normal","tukey(5)",8,-0.01589,0.00468,0.274431157489524,0.0749550458780731,-1.26267,3.67275,0.125,0,0.875,0.875,1,1
"4","close_normal-t(10)-8","close_normal","t(10)",8,-0.59406,-0.66969,0.0829073662533941,0.912222923218283,0.22026,1.90012,0,0,0.625,1,1,1
"5","close_normal-laplace(0,10)-8","close_normal","laplace(0,10)",8,2.14897,3.68423,0.220777439282197,6.95388081767555,-0.64686,2.4728,0,0,0.75,1,1,1
"6","sym_long_tail-t(1)-8","sym_long_tail","t(1)",8,-2.07809,-1.35329,0.184852259565988,3.92096911177471,-0.65495,2.15494,0,0,0.625,1,1,1
"7","sym_long_tail-t(2)-8","sym_long_tail","t(2)",8,3.94681,0.69866,0.328437650220753,9.88970051946486,2.18889,5.94546,0.125,0.125,0.875,0.875,1,1
"8","sym_long_tail-t(4)-8","sym_long_tail","t(4)",8,0.2046,-0.10059,0.258598401871278,1.18016970635385,0.74571,2.24909,0,0,0.625,1,1,1
"9","sym_long_tail-t(7)-8","sym_long_tail","t(7)",8,0.06467,0.00171,0.078210344980119,0.80500859593452,-0.28644,2.25499,0,0,0.75,1,1,1
"10","sym_long_tail-tukey(10)-8","sym_long_tail","tukey(10)",8,0.00537,-0.00026,0.248730807708768,0.0226349122244318,0.55178,3.10515,0.125,0,0.75,1,1,1
"11","sym_short_tail-uniform(0,1)-8","sym_short_tail","uniform(0,1)",8,4.69649,3.59224,0.444708488675195,2.48308729902954,0.67431,2.12346,0,0,0.75,1,1,1
"12","sym_short_tail-beta(1.3,1.3)-8","sym_short_tail","beta(1.3,1.3)",8,0.697,0.80601,0.345967551502974,0.315087352922064,-1.13544,3.25255,0,0,0.875,0.875,1,1
"13","sym_short_tail-beta(1.5,1.5)-8","sym_short_tail","beta(1.5,1.5)",8,0.52701,0.51232,0.0641541558490377,0.228979709974943,-0.30064,2.48497,0,0,0.75,1,1,1
"14","sym_short_tail-tukey(1.5)-8","sym_short_tail","tukey(1.5)",8,0.02884,-0.07417,0.186518464240419,0.552277761987263,0.12975,1.36096,0,0,0.375,1,1,1
"15","sym_short_tail-truncatednormal(2,2)-8","sym_short_tail","truncatednormal(2,2)",8,-1.66052,-1.9965,0.146545320947642,2.29266958390325,0.87938,2.72971,0,0,0.75,1,1,1
"16","asym_long_tail-Weibull(0.5,1)-8","asym_long_tail","Weibull(0.5,1)",8,0.37078,0.28698,0.259762995493489,0.322601761812916,0.45782,1.80863,0,0,0.625,1,1,1
"17","asym_long_tail-Weibull(2,1)-8","asym_long_tail","Weibull(2,1)",8,0.69652,0.57278,0.278167932950899,0.444839197269521,0.59548,1.96372,0,0,0.625,1,1,1
"18","asym_long_tail-lognormal(0,1)-8","asym_long_tail","lognormal(0,1)",8,1.31482,0.96084,0.350062568410463,1.01119066116473,0.6828,2.17252,0,0,0.875,1,1,1
"19","asym_long_tail-chisquared(4)-8","asym_long_tail","chisquared(4)",8,4.0945,4.2427,0.056764252419827,2.61079805832581,-0.25218,1.60571,0,0,0.5,1,1,1
