"","sample_id","dist_family","dist","size","mean","median","mean_median","sd","skewness","kurtosis","outliers_minor","outliers_extream","sigma_1_ratio","sigma_2_ratio","sigma_3_ratio","model","test_set","actual","predicted","score","threshold","type"
"1","close_normal-tukey(0.1)-8","close_normal","tukey(0.1)",8,0,-0.00032,0.00032,1,-0.03276,2.04605,0,0,0.625,1,1,"gbm","unseen","class_1","class_1",0.559223033668887,0.453550094789808,"TP"
"6","sym_long_tail-t(1)-8","sym_long_tail","t(1)",8,0,0.18485,-0.18485,1,-0.65495,2.15494,0,0,0.625,1,1,"gbm","unseen","class_1","class_1",0.676687283587447,0.453550094789808,"TP"
"11","sym_short_tail-uniform(0,1)-8","sym_short_tail","uniform(0,1)",8,0,-0.4447,0.4447,1,0.67431,2.12346,0,0,0.75,1,1,"gbm","unseen","class_1","class_1",0.801550874085436,0.453550094789808,"TP"
"16","asym_long_tail-Weibull(0.5,1)-8","asym_long_tail","Weibull(0.5,1)",8,0,-0.25975,0.25975,1,0.45782,1.80863,0,0,0.625,1,1,"gbm","unseen","class_1","class_1",0.862062072406758,0.453550094789808,"TP"
"21","asym_short_tail-beta(2,1)-8","asym_short_tail","beta(2,1)",8,0,0.00345,-0.00345,1,-0.11241,1.52426,0,0,0.5,1,1,"gbm","unseen","class_1","class_1",0.743757715908034,0.453550094789808,"TP"
"30","normal(0.6)-Normal_548_328.8-8","normal(0.6)","Normal_548_328.8",8,0,0.34054,-0.34054,1,-1.29556,3.28488,1,0,0.875,0.875,1,"gbm","unseen","class_0","class_1",0.558465588304498,0.453550094789808,"FP"
"35","normal(0.6)-Normal_-605_363-8","normal(0.6)","Normal_-605_363",8,0,-0.23774,0.23774,1,0.24483,1.43013,0,0,0.625,1,1,"gbm","unseen","class_0","class_1",0.80605220236309,0.453550094789808,"FP"
"40","normal(0.6)-Normal_956_573.6-8","normal(0.6)","Normal_956_573.6",8,0,0.1491,-0.1491,1,-0.41091,2.45529,1,0,0.625,1,1,"gbm","unseen","class_0","class_1",0.609481243957024,0.453550094789808,"FP"
"45","normal(0.6)-Normal_-597_358.2-8","normal(0.6)","Normal_-597_358.2",8,0,-0.19099,0.19099,1,1.22595,3.63886,1,0,0.875,0.875,1,"gbm","unseen","class_0","class_0",0.45329502080074,0.453550094789808,"TN"
"50","normal(0.6)-Normal_-277_166.2-8","normal(0.6)","Normal_-277_166.2",8,0,-0.58833,0.58833,1,0.54454,1.44797,0,0,0.625,1,1,"gbm","unseen","class_0","class_1",0.862062072406758,0.453550094789808,"FP"
"51","close_normal-tukey(0.1)-16","close_normal","tukey(0.1)",16,0,-0.08031,0.08031,1,0.14807,1.8838,0,0,0.6875,1,1,"gbm","unseen","class_1","class_1",0.561867775972041,0.453550094789808,"TP"
"56","sym_long_tail-t(1)-16","sym_long_tail","t(1)",16,0,0.0094,-0.0094,1,0.38403,2.1823,0,0,0.625,1,1,"gbm","unseen","class_1","class_0",0.387543815361287,0.453550094789808,"FN"
"61","sym_short_tail-uniform(0,1)-16","sym_short_tail","uniform(0,1)",16,0,0.20557,-0.20557,1,-0.55659,2.14756,0,0,0.5625,1,1,"gbm","unseen","class_1","class_1",0.676687283587447,0.453550094789808,"TP"
"66","asym_long_tail-Weibull(0.5,1)-16","asym_long_tail","Weibull(0.5,1)",16,0,-0.3208,0.3208,1,3.25906,12.41207,1,1,0.9375,0.9375,0.9375,"gbm","unseen","class_1","class_1",0.917597783873457,0.453550094789808,"TP"
"71","asym_short_tail-beta(2,1)-16","asym_short_tail","beta(2,1)",16,0,0.12647,-0.12647,1,-0.38288,1.90342,0,0,0.6875,1,1,"gbm","unseen","class_1","class_1",0.613490509191218,0.453550094789808,"TP"
"80","normal(0.6)-Normal_548_328.8-16","normal(0.6)","Normal_548_328.8",16,0,-0.10646,0.10646,1,0.52681,2.26476,0,0,0.6875,0.9375,1,"gbm","unseen","class_0","class_0",0.29533215517567,0.453550094789808,"TN"
"85","normal(0.6)-Normal_-605_363-16","normal(0.6)","Normal_-605_363",16,0,-0.00712,0.00712,1,0.15408,3.0489,0,0,0.8125,0.875,1,"gbm","unseen","class_0","class_0",0.0990166715612075,0.453550094789808,"TN"
"90","normal(0.6)-Normal_956_573.6-16","normal(0.6)","Normal_956_573.6",16,0,-0.17827,0.17827,1,-0.11981,2.241,0,0,0.6875,1,1,"gbm","unseen","class_0","class_0",0.2273186365043,0.453550094789808,"TN"
"95","normal(0.6)-Normal_-597_358.2-16","normal(0.6)","Normal_-597_358.2",16,0,-0.03934,0.03934,1,0.66539,3.65857,1,0,0.75,0.9375,1,"gbm","unseen","class_0","class_0",0.443857760146068,0.453550094789808,"TN"
"100","normal(0.6)-Normal_-277_166.2-16","normal(0.6)","Normal_-277_166.2",16,0,0.07757,-0.07757,1,-0.30943,2.4054,0,0,0.625,0.9375,1,"gbm","unseen","class_0","class_0",0.255061386273063,0.453550094789808,"TN"
"101","close_normal-tukey(0.1)-23","close_normal","tukey(0.1)",23,0,-0.02939,0.02939,1,-0.20891,1.88734,0,0,0.608695652173913,1,1,"gbm","unseen","class_1","class_1",0.919736311225613,0.453550094789808,"TP"
"106","sym_long_tail-t(1)-23","sym_long_tail","t(1)",23,0,-0.08432,0.08432,1,0.91559,7.27317,6,2,0.782608695652174,0.91304347826087,0.956521739130435,"gbm","unseen","class_1","class_1",0.863058221601555,0.453550094789808,"TP"
"111","sym_short_tail-uniform(0,1)-23","sym_short_tail","uniform(0,1)",23,0,0.20495,-0.20495,1,-0.2137,1.7085,0,0,0.652173913043478,1,1,"gbm","unseen","class_1","class_1",0.76698795907099,0.453550094789808,"TP"
"116","asym_long_tail-Weibull(0.5,1)-23","asym_long_tail","Weibull(0.5,1)",23,0,-0.3058,0.3058,1,2.18095,8.29662,1,0,0.91304347826087,0.956521739130435,0.956521739130435,"gbm","unseen","class_1","class_1",0.979290961971006,0.453550094789808,"TP"
"121","asym_short_tail-beta(2,1)-23","asym_short_tail","beta(2,1)",23,0,0.10687,-0.10687,1,-0.18066,1.82962,0,0,0.565217391304348,1,1,"gbm","unseen","class_1","class_1",0.592332399098705,0.453550094789808,"TP"
