"","sample_id","dist_family","dist","size","mean","median","mean_median","sd","skewness","kurtosis","outliers_minor","outliers_extream","sigma_1_ratio","sigma_2_ratio","sigma_3_ratio","model","test_set","actual","predicted","score","threshold","type"
"1","close_normal-tukey(0.1)-8","close_normal","tukey(0.1)",8,0,-0.00032,0.00032,1,-0.03276,2.04605,0,0,0.625,1,1,"svmRadialSigma","unseen","class_1","class_1",0.914606040384329,0.338818443172808,"TP"
"6","sym_long_tail-t(1)-8","sym_long_tail","t(1)",8,0,0.18485,-0.18485,1,-0.65495,2.15494,0,0,0.625,1,1,"svmRadialSigma","unseen","class_1","class_1",0.734148283437547,0.338818443172808,"TP"
"11","sym_short_tail-uniform(0,1)-8","sym_short_tail","uniform(0,1)",8,0,-0.4447,0.4447,1,0.67431,2.12346,0,0,0.75,1,1,"svmRadialSigma","unseen","class_1","class_1",0.950899929649462,0.338818443172808,"TP"
"16","asym_long_tail-Weibull(0.5,1)-8","asym_long_tail","Weibull(0.5,1)",8,0,-0.25975,0.25975,1,0.45782,1.80863,0,0,0.625,1,1,"svmRadialSigma","unseen","class_1","class_1",0.930805990035249,0.338818443172808,"TP"
"21","asym_short_tail-beta(2,1)-8","asym_short_tail","beta(2,1)",8,0,0.00345,-0.00345,1,-0.11241,1.52426,0,0,0.5,1,1,"svmRadialSigma","unseen","class_1","class_1",0.966620286346916,0.338818443172808,"TP"
"30","normal(0.6)-Normal_548_328.8-8","normal(0.6)","Normal_548_328.8",8,0,0.34054,-0.34054,1,-1.29556,3.28488,1,0,0.875,0.875,1,"svmRadialSigma","unseen","class_0","class_1",0.960160620942017,0.338818443172808,"FP"
"35","normal(0.6)-Normal_-605_363-8","normal(0.6)","Normal_-605_363",8,0,-0.23774,0.23774,1,0.24483,1.43013,0,0,0.625,1,1,"svmRadialSigma","unseen","class_0","class_1",0.811865270031905,0.338818443172808,"FP"
"40","normal(0.6)-Normal_956_573.6-8","normal(0.6)","Normal_956_573.6",8,0,0.1491,-0.1491,1,-0.41091,2.45529,1,0,0.625,1,1,"svmRadialSigma","unseen","class_0","class_1",0.370929872290305,0.338818443172808,"FP"
"45","normal(0.6)-Normal_-597_358.2-8","normal(0.6)","Normal_-597_358.2",8,0,-0.19099,0.19099,1,1.22595,3.63886,1,0,0.875,0.875,1,"svmRadialSigma","unseen","class_0","class_1",0.952135119993411,0.338818443172808,"FP"
"50","normal(0.6)-Normal_-277_166.2-8","normal(0.6)","Normal_-277_166.2",8,0,-0.58833,0.58833,1,0.54454,1.44797,0,0,0.625,1,1,"svmRadialSigma","unseen","class_0","class_1",0.949986808451645,0.338818443172808,"FP"
