"","threshold","tp","fp","fn","tn","sensitivity","specificity","accuracy","model","test_set"
"1",0,797,803,0,0,1,0,0.498125,"rf","dev"
"2",0.05,789,445,8,358,0.989962358845671,0.445828144458281,0.716875,"rf","dev"
"3",0.1,785,266,12,537,0.984943538268507,0.668742216687422,0.82625,"rf","dev"
"4",0.15,776,168,21,635,0.973651191969887,0.790784557907846,0.881875,"rf","dev"
"5",0.2,769,116,28,687,0.964868255959849,0.855541718555417,0.91,"rf","dev"
"6",0.25,758,99,39,704,0.951066499372647,0.876712328767123,0.91375,"rf","dev"
"7",0.3,751,70,46,733,0.94228356336261,0.912826899128269,0.9275,"rf","dev"
"8",0.35,744,55,53,748,0.933500627352572,0.931506849315068,0.9325,"rf","dev"
"9",0.4,741,42,56,761,0.929736511919699,0.947696139476961,0.93875,"rf","dev"
"10",0.45,733,31,64,772,0.91969887076537,0.961394769613948,0.940625,"rf","dev"
"11",0.5,727,28,70,775,0.912170639899624,0.965130759651308,0.93875,"rf","dev"
"12",0.55,723,17,74,786,0.907151819322459,0.978829389788294,0.943125,"rf","dev"
"13",0.6,711,10,86,793,0.892095357590966,0.987546699875467,0.94,"rf","dev"
"14",0.65,701,8,96,795,0.879548306148055,0.990037359900374,0.935,"rf","dev"
"15",0.7,682,7,115,796,0.855708908406524,0.991282689912827,0.92375,"rf","dev"
"16",0.75,670,4,127,799,0.840652446675031,0.995018679950187,0.918125,"rf","dev"
"17",0.8,654,3,143,800,0.820577164366374,0.99626400996264,0.90875,"rf","dev"
"18",0.85,633,2,164,801,0.794228356336261,0.997509339975093,0.89625,"rf","dev"
"19",0.9,608,1,189,802,0.762860727728984,0.998754669987547,0.88125,"rf","dev"
"20",0.95,567,0,230,803,0.711417816813049,1,0.85625,"rf","dev"
"21",1,330,0,467,803,0.41405269761606,1,0.708125,"rf","dev"
"22",0,793,807,0,0,1,0,0.495625,"rf","test"
"23",0.05,790,459,3,348,0.996216897856242,0.431226765799257,0.71125,"rf","test"
