"","sample_id","dist_family","dist","size","mean","median","mean_median_diff","sd","skewness","kurtosis","outliers_minor_ratio","outliers_extream_ratio","sigma_1_ratio","sigma_2_ratio","sigma_3_ratio","model","test_set","actual","predicted","score","threshold","type"
"1","close_normal-tukey(0.1)-8","close_normal","tukey(0.1)",8,0.32939,0.32901,0.000331506648309317,1.14628168677156,-0.03276,2.04605,0,0,0.625,1,1,"rf","unseen","class_1","class_0",0.486,0.657,"FN"
"6","sym_long_tail-t(1)-8","sym_long_tail","t(1)",8,-2.07809,-1.35329,0.184852259565988,3.92096911177471,-0.65495,2.15494,0,0,0.625,1,1,"rf","unseen","class_1","class_0",0.48,0.657,"FN"
"11","sym_short_tail-uniform(0,1)-8","sym_short_tail","uniform(0,1)",8,4.69649,3.59224,0.444708488675195,2.48308729902954,0.67431,2.12346,0,0,0.75,1,1,"rf","unseen","class_1","class_1",0.698,0.657,"TP"
"16","asym_long_tail-Weibull(0.5,1)-8","asym_long_tail","Weibull(0.5,1)",8,0.37078,0.28698,0.259762995493489,0.322601761812916,0.45782,1.80863,0,0,0.625,1,1,"rf","unseen","class_1","class_1",0.678,0.657,"TP"
"21","asym_short_tail-beta(2,1)-8","asym_short_tail","beta(2,1)",8,0.70824,0.70901,0.00341735629628475,0.225320374359902,-0.11241,1.52426,0,0,0.5,1,1,"rf","unseen","class_1","class_1",0.736,0.657,"TP"
"29","normal(0.6)-Normal_548_328.8-8","normal(0.6)","Normal_548_328.8",8,654.75742,736.38324,0.237525041234402,343.651429658937,-1.08532,3.0411,0.125,0,0.875,0.875,1,"rf","unseen","class_0","class_0",0.534,0.657,"TN"
"34","normal(0.6)-Normal_-605_363-8","normal(0.6)","Normal_-605_363",8,-728.03794,-781.57834,0.134668878861022,397.570696755064,0.59309,2.33194,0,0,0.75,1,1,"rf","unseen","class_0","class_0",0.528,0.657,"TN"
"39","normal(0.6)-Normal_956_573.6-8","normal(0.6)","Normal_956_573.6",8,830.9191,789.44187,0.0856184148149069,484.442863018043,0.15868,1.66335,0,0,0.5,1,1,"rf","unseen","class_0","class_1",0.858,0.657,"FP"
"44","normal(0.6)-Normal_-597_358.2-8","normal(0.6)","Normal_-597_358.2",8,-414.78551,-321.80339,0.274475170672587,338.763319728164,-0.58131,2.16595,0,0,0.75,1,1,"rf","unseen","class_0","class_0",0.426,0.657,"TN"
"49","normal(0.6)-Normal_-277_166.2-8","normal(0.6)","Normal_-277_166.2",8,-282.64199,-269.84695,0.0566386836126904,225.906380301769,-0.56819,3.40506,0.25,0,0.75,1,1,"rf","unseen","class_0","class_0",0.376,0.657,"TN"
"51","close_normal-tukey(0.1)-16","close_normal","tukey(0.1)",16,0.91952,0.81022,0.0803089317200767,1.36099432104232,0.14807,1.8838,0,0,0.6875,1,1,"rf","unseen","class_1","class_1",0.676,0.657,"TP"
"56","sym_long_tail-t(1)-16","sym_long_tail","t(1)",16,0.03287,0.04769,0.00940122738143929,1.57638991151931,0.38403,2.1823,0,0,0.625,1,1,"rf","unseen","class_1","class_0",0.606,0.657,"FN"
"61","sym_short_tail-uniform(0,1)-16","sym_short_tail","uniform(0,1)",16,6.10937,6.75548,0.205566268896731,3.14307402409771,-0.55659,2.14756,0,0,0.5625,1,1,"rf","unseen","class_1","class_0",0.654,0.657,"FN"
"66","asym_long_tail-Weibull(0.5,1)-16","asym_long_tail","Weibull(0.5,1)",16,3.16788,1.02048,0.320799110656395,6.6939088316241,3.25906,12.41207,0.0625,0.0625,0.9375,0.9375,0.9375,"rf","unseen","class_1","class_1",0.992,0.657,"TP"
"71","asym_short_tail-beta(2,1)-16","asym_short_tail","beta(2,1)",16,0.58236,0.61599,0.126460497452372,0.265932846046773,-0.38288,1.90342,0,0,0.6875,1,1,"rf","unseen","class_1","class_0",0.656,0.657,"FN"
"79","normal(0.6)-Normal_548_328.8-16","normal(0.6)","Normal_548_328.8",16,563.11287,613.4688,0.137882450168355,365.209132406011,-0.08788,3.25455,0,0,0.8125,0.875,1,"rf","unseen","class_0","class_0",0.372,0.657,"TN"
"84","normal(0.6)-Normal_-605_363-16","normal(0.6)","Normal_-605_363",16,-513.3243,-520.84636,0.0258338712929099,291.170452725157,-0.26344,2.39487,0,0,0.75,0.9375,1,"rf","unseen","class_0","class_0",0.482,0.657,"TN"
"89","normal(0.6)-Normal_956_573.6-16","normal(0.6)","Normal_956_573.6",16,942.05938,919.42165,0.0456229169600492,496.192078639411,0.41699,2.23308,0,0,0.625,0.9375,1,"rf","unseen","class_0","class_0",0.424,0.657,"TN"
"94","normal(0.6)-Normal_-597_358.2-16","normal(0.6)","Normal_-597_358.2",16,-556.7685,-614.24359,0.170197061292103,337.697311361666,1.2475,4.83414,0.0625,0.0625,0.75,0.9375,1,"rf","unseen","class_0","class_1",0.894,0.657,"FP"
"99","normal(0.6)-Normal_-277_166.2-16","normal(0.6)","Normal_-277_166.2",16,-237.12522,-260.67979,0.15535591539328,151.616820900396,0.78056,2.71291,0,0,0.75,0.9375,1,"rf","unseen","class_0","class_0",0.534,0.657,"TN"
"101","close_normal-tukey(0.1)-23","close_normal","tukey(0.1)",23,0.16135,0.12691,0.0293831595900617,1.17209995386775,-0.20891,1.88734,0,0,0.608695652173913,1,1,"rf","unseen","class_1","class_1",0.666,0.657,"TP"
