"","threshold","tp","fp","fn","tn","sensitivity","specificity","accuracy","model","test_set"
"1",0,798,802,0,0,1,0,0.49875,"rf","dev"
"2",0.05,786,469,12,333,0.984962406015038,0.415211970074813,0.699375,"rf","dev"
"3",0.1,776,275,22,527,0.972431077694236,0.657107231920199,0.814375,"rf","dev"
"4",0.15,767,184,31,618,0.961152882205514,0.770573566084788,0.865625,"rf","dev"
"5",0.2,759,141,39,661,0.951127819548872,0.824189526184539,0.8875,"rf","dev"
"6",0.25,750,112,48,690,0.93984962406015,0.860349127182045,0.9,"rf","dev"
"7",0.3,744,91,54,711,0.932330827067669,0.886533665835411,0.909375,"rf","dev"
"8",0.35,737,80,61,722,0.923558897243108,0.900249376558603,0.911875,"rf","dev"
"9",0.4,732,64,66,738,0.917293233082707,0.920199501246883,0.91875,"rf","dev"
"10",0.45,726,49,72,753,0.909774436090226,0.938902743142145,0.924375,"rf","dev"
"11",0.5,722,36,76,766,0.904761904761905,0.955112219451372,0.93,"rf","dev"
"12",0.55,718,25,80,777,0.899749373433584,0.968827930174564,0.934375,"rf","dev"
"13",0.6,712,12,86,790,0.892230576441103,0.985037406483791,0.93875,"rf","dev"
"14",0.65,706,7,92,795,0.884711779448622,0.991271820448878,0.938125,"rf","dev"
"15",0.7,701,3,97,799,0.878446115288221,0.996259351620948,0.9375,"rf","dev"
"16",0.75,687,2,111,800,0.860902255639098,0.997506234413965,0.929375,"rf","dev"
"17",0.8,670,0,128,802,0.839598997493734,1,0.92,"rf","dev"
"18",0.85,651,0,147,802,0.815789473684211,1,0.908125,"rf","dev"
"19",0.9,629,0,169,802,0.788220551378446,1,0.894375,"rf","dev"
"20",0.95,605,0,193,802,0.758145363408521,1,0.879375,"rf","dev"
"21",1,347,0,451,802,0.43483709273183,1,0.718125,"rf","dev"
"22",0,804,796,0,0,1,0,0.5025,"rf","test"
"23",0.05,796,419,8,377,0.990049751243781,0.473618090452261,0.733125,"rf","test"
"24",0.1,785,222,19,574,0.97636815920398,0.721105527638191,0.849375,"rf","test"
"25",0.15,776,153,28,643,0.965174129353234,0.807788944723618,0.886875,"rf","test"
"26",0.2,767,104,37,692,0.953980099502488,0.869346733668342,0.911875,"rf","test"
"27",0.25,761,75,43,721,0.946517412935323,0.905778894472362,0.92625,"rf","test"
"28",0.3,753,61,51,735,0.936567164179104,0.923366834170854,0.93,"rf","test"
"29",0.35,742,46,62,750,0.922885572139303,0.942211055276382,0.9325,"rf","test"
"30",0.4,736,38,68,758,0.915422885572139,0.952261306532663,0.93375,"rf","test"
"31",0.45,726,26,78,770,0.902985074626866,0.967336683417085,0.935,"rf","test"
"32",0.5,716,24,88,772,0.890547263681592,0.969849246231156,0.93,"rf","test"
"33",0.55,711,20,93,776,0.884328358208955,0.974874371859296,0.929375,"rf","test"
"34",0.6,700,15,104,781,0.870646766169154,0.981155778894472,0.925625,"rf","test"
"35",0.65,696,10,108,786,0.865671641791045,0.987437185929648,0.92625,"rf","test"
"36",0.7,687,4,117,792,0.854477611940298,0.994974874371859,0.924375,"rf","test"
"37",0.75,679,3,125,793,0.84452736318408,0.996231155778894,0.92,"rf","test"
"38",0.8,669,3,135,793,0.832089552238806,0.996231155778894,0.91375,"rf","test"
"39",0.85,653,3,151,793,0.812189054726368,0.996231155778894,0.90375,"rf","test"
"40",0.9,630,1,174,795,0.783582089552239,0.998743718592965,0.890625,"rf","test"
"41",0.95,589,0,215,796,0.732587064676617,1,0.865625,"rf","test"
"42",1,344,0,460,796,0.427860696517413,1,0.7125,"rf","test"
"43",0,1000,1000,0,0,1,0,0.5,"rf","unseen"
"44",0.05,970,635,30,365,0.97,0.365,0.6675,"rf","unseen"
"45",0.1,947,391,53,609,0.947,0.609,0.778,"rf","unseen"
"46",0.15,925,267,75,733,0.925,0.733,0.829,"rf","unseen"
"47",0.2,901,194,99,806,0.901,0.806,0.8535,"rf","unseen"
"48",0.25,887,135,113,865,0.887,0.865,0.876,"rf","unseen"
"49",0.3,874,110,126,890,0.874,0.89,0.882,"rf","unseen"
"50",0.35,865,94,135,906,0.865,0.906,0.8855,"rf","unseen"
"51",0.4,849,67,151,933,0.849,0.933,0.891,"rf","unseen"
"52",0.45,842,46,158,954,0.842,0.954,0.898,"rf","unseen"
"53",0.5,828,37,172,963,0.828,0.963,0.8955,"rf","unseen"
"54",0.55,811,28,189,972,0.811,0.972,0.8915,"rf","unseen"
"55",0.6,805,19,195,981,0.805,0.981,0.893,"rf","unseen"
"56",0.65,794,13,206,987,0.794,0.987,0.8905,"rf","unseen"
"57",0.7,766,9,234,991,0.766,0.991,0.8785,"rf","unseen"
"58",0.75,748,9,252,991,0.748,0.991,0.8695,"rf","unseen"
"59",0.8,728,4,272,996,0.728,0.996,0.862,"rf","unseen"
"60",0.85,698,4,302,996,0.698,0.996,0.847,"rf","unseen"
"61",0.9,655,1,345,999,0.655,0.999,0.827,"rf","unseen"
"62",0.95,571,0,429,1000,0.571,1,0.7855,"rf","unseen"
"63",1,391,0,609,1000,0.391,1,0.6955,"rf","unseen"
"64",0,798,802,0,0,1,0,0.49875,"gbm","dev"
"65",0.05,793,677,5,125,0.993734335839599,0.155860349127182,0.57375,"gbm","dev"
"66",0.1,753,221,45,581,0.943609022556391,0.724438902743142,0.83375,"gbm","dev"
"67",0.15,747,161,51,641,0.93609022556391,0.79925187032419,0.8675,"gbm","dev"
"68",0.2,738,139,60,663,0.924812030075188,0.826683291770574,0.875625,"gbm","dev"
"69",0.25,734,107,64,695,0.919799498746867,0.866583541147132,0.893125,"gbm","dev"
"70",0.3,730,89,68,713,0.914786967418546,0.889027431421446,0.901875,"gbm","dev"
"71",0.35,725,78,73,724,0.908521303258145,0.902743142144638,0.905625,"gbm","dev"
"72",0.4,725,64,73,738,0.908521303258145,0.920199501246883,0.914375,"gbm","dev"
"73",0.45,720,54,78,748,0.902255639097744,0.932668329177057,0.9175,"gbm","dev"
"74",0.5,716,48,82,754,0.897243107769424,0.940149625935162,0.91875,"gbm","dev"
"75",0.55,712,38,86,764,0.892230576441103,0.952618453865337,0.9225,"gbm","dev"
"76",0.6,706,30,92,772,0.884711779448622,0.962593516209476,0.92375,"gbm","dev"
"77",0.65,704,24,94,778,0.882205513784461,0.970074812967581,0.92625,"gbm","dev"
"78",0.7,697,18,101,784,0.8734335839599,0.977556109725686,0.925625,"gbm","dev"
"79",0.75,687,14,111,788,0.860902255639098,0.982543640897756,0.921875,"gbm","dev"
"80",0.8,678,9,120,793,0.849624060150376,0.988778054862843,0.919375,"gbm","dev"
"81",0.85,656,6,142,796,0.822055137844611,0.992518703241895,0.9075,"gbm","dev"
"82",0.9,628,4,170,798,0.786967418546366,0.99501246882793,0.89125,"gbm","dev"
"83",0.95,564,0,234,802,0.706766917293233,1,0.85375,"gbm","dev"
"84",1,0,0,798,802,0,1,0.50125,"gbm","dev"
"85",0,804,796,0,0,1,0,0.5025,"gbm","test"
"86",0.05,795,637,9,159,0.988805970149254,0.199748743718593,0.59625,"gbm","test"
"87",0.1,770,205,34,591,0.95771144278607,0.742462311557789,0.850625,"gbm","test"
"88",0.15,764,135,40,661,0.950248756218905,0.830402010050251,0.890625,"gbm","test"
"89",0.2,759,105,45,691,0.944029850746269,0.868090452261307,0.90625,"gbm","test"
"90",0.25,750,77,54,719,0.932835820895522,0.903266331658292,0.918125,"gbm","test"
"91",0.3,741,63,63,733,0.921641791044776,0.920854271356784,0.92125,"gbm","test"
"92",0.35,740,53,64,743,0.920398009950249,0.933417085427136,0.926875,"gbm","test"
"93",0.4,728,47,76,749,0.90547263681592,0.940954773869347,0.923125,"gbm","test"
"94",0.45,723,39,81,757,0.899253731343284,0.951005025125628,0.925,"gbm","test"
"95",0.5,716,33,88,763,0.890547263681592,0.958542713567839,0.924375,"gbm","test"
"96",0.55,712,30,92,766,0.885572139303483,0.962311557788945,0.92375,"gbm","test"
"97",0.6,704,24,100,772,0.875621890547264,0.969849246231156,0.9225,"gbm","test"
"98",0.65,695,20,109,776,0.864427860696517,0.974874371859296,0.919375,"gbm","test"
"99",0.7,687,18,117,778,0.854477611940298,0.977386934673367,0.915625,"gbm","test"
"100",0.75,681,16,123,780,0.847014925373134,0.979899497487437,0.913125,"gbm","test"
"101",0.8,667,10,137,786,0.829601990049751,0.987437185929648,0.908125,"gbm","test"
"102",0.85,654,7,150,789,0.813432835820896,0.991206030150754,0.901875,"gbm","test"
"103",0.9,614,2,190,794,0.763681592039801,0.99748743718593,0.88,"gbm","test"
"104",0.95,550,0,254,796,0.68407960199005,1,0.84125,"gbm","test"
"105",1,0,0,804,796,0,1,0.4975,"gbm","test"
"106",0,1000,1000,0,0,1,0,0.5,"gbm","unseen"
"107",0.05,980,843,20,157,0.98,0.157,0.5685,"gbm","unseen"
"108",0.1,921,286,79,714,0.921,0.714,0.8175,"gbm","unseen"
"109",0.15,900,201,100,799,0.9,0.799,0.8495,"gbm","unseen"
"110",0.2,889,162,111,838,0.889,0.838,0.8635,"gbm","unseen"
"111",0.25,876,129,124,871,0.876,0.871,0.8735,"gbm","unseen"
"112",0.3,865,104,135,896,0.865,0.896,0.8805,"gbm","unseen"
"113",0.35,855,88,145,912,0.855,0.912,0.8835,"gbm","unseen"
"114",0.4,851,75,149,925,0.851,0.925,0.888,"gbm","unseen"
"115",0.45,839,64,161,936,0.839,0.936,0.8875,"gbm","unseen"
"116",0.5,832,55,168,945,0.832,0.945,0.8885,"gbm","unseen"
"117",0.55,827,48,173,952,0.827,0.952,0.8895,"gbm","unseen"
"118",0.6,813,39,187,961,0.813,0.961,0.887,"gbm","unseen"
"119",0.65,801,36,199,964,0.801,0.964,0.8825,"gbm","unseen"
"120",0.7,794,29,206,971,0.794,0.971,0.8825,"gbm","unseen"
"121",0.75,783,23,217,977,0.783,0.977,0.88,"gbm","unseen"
"122",0.8,770,20,230,980,0.77,0.98,0.875,"gbm","unseen"
"123",0.85,754,10,246,990,0.754,0.99,0.872,"gbm","unseen"
"124",0.9,727,5,273,995,0.727,0.995,0.861,"gbm","unseen"
"125",0.95,684,1,316,999,0.684,0.999,0.8415,"gbm","unseen"
"126",1,0,0,1000,1000,0,1,0.5,"gbm","unseen"
"127",0,798,802,0,0,1,0,0.49875,"svmRadialSigma","dev"
"128",0.05,791,704,7,98,0.991228070175439,0.122194513715711,0.555625,"svmRadialSigma","dev"
"129",0.1,772,379,26,423,0.967418546365915,0.527431421446384,0.746875,"svmRadialSigma","dev"
"130",0.15,748,176,50,626,0.93734335839599,0.780548628428928,0.85875,"svmRadialSigma","dev"
"131",0.2,736,107,62,695,0.922305764411028,0.866583541147132,0.894375,"svmRadialSigma","dev"
"132",0.25,727,92,71,710,0.911027568922306,0.885286783042394,0.898125,"svmRadialSigma","dev"
"133",0.3,719,76,79,726,0.901002506265664,0.905236907730673,0.903125,"svmRadialSigma","dev"
"134",0.35,713,64,85,738,0.893483709273183,0.920199501246883,0.906875,"svmRadialSigma","dev"
"135",0.4,709,58,89,744,0.888471177944862,0.927680798004987,0.908125,"svmRadialSigma","dev"
"136",0.45,705,48,93,754,0.883458646616541,0.940149625935162,0.911875,"svmRadialSigma","dev"
"137",0.5,702,44,96,758,0.879699248120301,0.945137157107232,0.9125,"svmRadialSigma","dev"
"138",0.55,698,37,100,765,0.87468671679198,0.953865336658354,0.914375,"svmRadialSigma","dev"
"139",0.6,696,34,102,768,0.87218045112782,0.957605985037406,0.915,"svmRadialSigma","dev"
"140",0.65,688,30,110,772,0.862155388471178,0.962593516209476,0.9125,"svmRadialSigma","dev"
"141",0.7,686,27,112,775,0.859649122807018,0.966334164588529,0.913125,"svmRadialSigma","dev"
"142",0.75,681,24,117,778,0.853383458646617,0.970074812967581,0.911875,"svmRadialSigma","dev"
"143",0.8,676,22,122,780,0.847117794486215,0.972568578553616,0.91,"svmRadialSigma","dev"
"144",0.85,666,21,132,781,0.834586466165414,0.973815461346633,0.904375,"svmRadialSigma","dev"
"145",0.9,652,18,146,784,0.817042606516291,0.977556109725686,0.8975,"svmRadialSigma","dev"
"146",0.95,626,8,172,794,0.784461152882206,0.99002493765586,0.8875,"svmRadialSigma","dev"
"147",1,0,0,798,802,0,1,0.50125,"svmRadialSigma","dev"
"148",0,804,796,0,0,1,0,0.5025,"svmRadialSigma","test"
"149",0.05,794,684,10,112,0.987562189054726,0.14070351758794,0.56625,"svmRadialSigma","test"
"150",0.1,773,347,31,449,0.961442786069652,0.564070351758794,0.76375,"svmRadialSigma","test"
"151",0.15,747,155,57,641,0.92910447761194,0.805276381909548,0.8675,"svmRadialSigma","test"
"152",0.2,734,80,70,716,0.912935323383085,0.899497487437186,0.90625,"svmRadialSigma","test"
"153",0.25,728,59,76,737,0.90547263681592,0.925879396984925,0.915625,"svmRadialSigma","test"
"154",0.3,724,44,80,752,0.900497512437811,0.944723618090452,0.9225,"svmRadialSigma","test"
"155",0.35,719,38,85,758,0.894278606965174,0.952261306532663,0.923125,"svmRadialSigma","test"
"156",0.4,712,35,92,761,0.885572139303483,0.956030150753769,0.920625,"svmRadialSigma","test"
"157",0.45,701,33,103,763,0.871890547263682,0.958542713567839,0.915,"svmRadialSigma","test"
"158",0.5,692,30,112,766,0.860696517412935,0.962311557788945,0.91125,"svmRadialSigma","test"
"159",0.55,691,28,113,768,0.859452736318408,0.964824120603015,0.911875,"svmRadialSigma","test"
"160",0.6,689,25,115,771,0.856965174129353,0.968592964824121,0.9125,"svmRadialSigma","test"
"161",0.65,687,24,117,772,0.854477611940298,0.969849246231156,0.911875,"svmRadialSigma","test"
