"","sample_id","dist_family","dist","size","mean","median","mean_median_diff","sd","skewness","kurtosis","outliers_minor_ratio","outliers_extream_ratio","sigma_1_ratio","sigma_2_ratio","sigma_3_ratio","model","test_set","actual","predicted","score","threshold","type"
"1","close_normal-tukey(0.1)-8","close_normal","tukey(0.1)",8,0,-0.00032,0.00032,1,-0.03276,2.04605,0,0,0.625,1,1,"svmRadialSigma","unseen","class_1","class_1",0.938769073250784,0.468671536447808,"TP"
"6","sym_long_tail-t(1)-8","sym_long_tail","t(1)",8,0,0.18485,0.18485,1,-0.65495,2.15494,0,0,0.625,1,1,"svmRadialSigma","unseen","class_1","class_1",0.962784191918752,0.468671536447808,"TP"
"11","sym_short_tail-uniform(0,1)-8","sym_short_tail","uniform(0,1)",8,0,-0.4447,0.4447,1,0.67431,2.12346,0,0,0.75,1,1,"svmRadialSigma","unseen","class_1","class_1",0.960264449448498,0.468671536447808,"TP"
"16","asym_long_tail-Weibull(0.5,1)-8","asym_long_tail","Weibull(0.5,1)",8,0,-0.25975,0.25975,1,0.45782,1.80863,0,0,0.625,1,1,"svmRadialSigma","unseen","class_1","class_1",0.903063526960466,0.468671536447808,"TP"
"21","asym_short_tail-beta(2,1)-8","asym_short_tail","beta(2,1)",8,0,0.00345,0.00345,1,-0.11241,1.52426,0,0,0.5,1,1,"svmRadialSigma","unseen","class_1","class_1",0.965105646830948,0.468671536447808,"TP"
"29","normal(0.6)-Normal_548_328.8-8","normal(0.6)","Normal_548_328.8",8,0,0.23753,0.23753,1,-1.08532,3.0411,0.125,0,0.875,0.875,1,"svmRadialSigma","unseen","class_0","class_1",0.963570454443463,0.468671536447808,"FP"
"34","normal(0.6)-Normal_-605_363-8","normal(0.6)","Normal_-605_363",8,0,-0.13467,0.13467,1,0.59309,2.33194,0,0,0.75,1,1,"svmRadialSigma","unseen","class_0","class_1",0.965148341339595,0.468671536447808,"FP"
"39","normal(0.6)-Normal_956_573.6-8","normal(0.6)","Normal_956_573.6",8,0,-0.08562,0.08562,1,0.15868,1.66335,0,0,0.5,1,1,"svmRadialSigma","unseen","class_0","class_1",0.963706575173196,0.468671536447808,"FP"
"44","normal(0.6)-Normal_-597_358.2-8","normal(0.6)","Normal_-597_358.2",8,0,0.27448,0.27448,1,-0.58131,2.16595,0,0,0.75,1,1,"svmRadialSigma","unseen","class_0","class_1",0.903533759952776,0.468671536447808,"FP"
"49","normal(0.6)-Normal_-277_166.2-8","normal(0.6)","Normal_-277_166.2",8,0,0.05664,0.05664,1,-0.56819,3.40506,0.25,0,0.75,1,1,"svmRadialSigma","unseen","class_0","class_0",0.331208410709765,0.468671536447808,"TN"
"51","close_normal-tukey(0.1)-16","close_normal","tukey(0.1)",16,0,-0.08031,0.08031,1,0.14807,1.8838,0,0,0.6875,1,1,"svmRadialSigma","unseen","class_1","class_1",0.929246061437688,0.468671536447808,"TP"
"56","sym_long_tail-t(1)-16","sym_long_tail","t(1)",16,0,0.0094,0.0094,1,0.38403,2.1823,0,0,0.625,1,1,"svmRadialSigma","unseen","class_1","class_1",0.951333861783889,0.468671536447808,"TP"
"61","sym_short_tail-uniform(0,1)-16","sym_short_tail","uniform(0,1)",16,0,0.20557,0.20557,1,-0.55659,2.14756,0,0,0.5625,1,1,"svmRadialSigma","unseen","class_1","class_1",0.94566743509106,0.468671536447808,"TP"
