"","threshold","tp","fp","fn","tn","sensitivity","specificity","accuracy","model","test_set"
"1",0,798,802,0,0,1,0,0.49875,"rf","dev"
"2",0.05,785,456,13,346,0.983709273182957,0.43142144638404,0.706875,"rf","dev"
"3",0.1,778,261,20,541,0.974937343358396,0.674563591022444,0.824375,"rf","dev"
"4",0.15,769,181,29,621,0.963659147869674,0.77431421446384,0.86875,"rf","dev"
"5",0.2,758,140,40,662,0.949874686716792,0.825436408977556,0.8875,"rf","dev"
"6",0.25,751,113,47,689,0.941102756892231,0.859102244389027,0.9,"rf","dev"
"7",0.3,741,92,57,710,0.928571428571429,0.885286783042394,0.906875,"rf","dev"
"8",0.35,736,76,62,726,0.922305764411028,0.905236907730673,0.91375,"rf","dev"
"9",0.4,730,60,68,742,0.914786967418546,0.925187032418953,0.92,"rf","dev"
"10",0.45,725,46,73,756,0.908521303258145,0.942643391521197,0.925625,"rf","dev"
"11",0.5,722,30,76,772,0.904761904761905,0.962593516209476,0.93375,"rf","dev"
"12",0.55,718,23,80,779,0.899749373433584,0.971321695760598,0.935625,"rf","dev"
"13",0.6,711,12,87,790,0.890977443609023,0.985037406483791,0.938125,"rf","dev"
"14",0.65,707,7,91,795,0.885964912280702,0.991271820448878,0.93875,"rf","dev"
"15",0.7,699,4,99,798,0.87593984962406,0.99501246882793,0.935625,"rf","dev"
"16",0.75,691,2,107,800,0.865914786967419,0.997506234413965,0.931875,"rf","dev"
"17",0.8,674,1,124,801,0.844611528822055,0.998753117206983,0.921875,"rf","dev"
"18",0.85,651,0,147,802,0.815789473684211,1,0.908125,"rf","dev"
"19",0.9,631,0,167,802,0.790726817042607,1,0.895625,"rf","dev"
"20",0.95,597,0,201,802,0.74812030075188,1,0.874375,"rf","dev"
"21",1,348,0,450,802,0.43609022556391,1,0.71875,"rf","dev"
"22",0,804,796,0,0,1,0,0.5025,"rf","test"
"23",0.05,793,409,11,387,0.986318407960199,0.486180904522613,0.7375,"rf","test"
"24",0.1,783,230,21,566,0.973880597014925,0.71105527638191,0.843125,"rf","test"
"25",0.15,776,140,28,656,0.965174129353234,0.824120603015075,0.895,"rf","test"
"26",0.2,771,105,33,691,0.958955223880597,0.868090452261307,0.91375,"rf","test"
"27",0.25,762,80,42,716,0.947761194029851,0.899497487437186,0.92375,"rf","test"
"28",0.3,752,60,52,736,0.935323383084577,0.924623115577889,0.93,"rf","test"
"29",0.35,741,45,63,751,0.921641791044776,0.943467336683417,0.9325,"rf","test"
"30",0.4,734,37,70,759,0.912935323383085,0.953517587939699,0.933125,"rf","test"
"31",0.45,728,24,76,772,0.90547263681592,0.969849246231156,0.9375,"rf","test"
"32",0.5,722,21,82,775,0.898009950248756,0.973618090452261,0.935625,"rf","test"
"33",0.55,713,20,91,776,0.88681592039801,0.974874371859296,0.930625,"rf","test"
"34",0.6,703,14,101,782,0.874378109452736,0.982412060301508,0.928125,"rf","test"
"35",0.65,696,7,108,789,0.865671641791045,0.991206030150754,0.928125,"rf","test"
"36",0.7,689,5,115,791,0.856965174129353,0.993718592964824,0.925,"rf","test"
"37",0.75,682,3,122,793,0.848258706467662,0.996231155778894,0.921875,"rf","test"
"38",0.8,670,3,134,793,0.833333333333333,0.996231155778894,0.914375,"rf","test"
"39",0.85,658,2,146,794,0.818407960199005,0.99748743718593,0.9075,"rf","test"
"40",0.9,628,1,176,795,0.781094527363184,0.998743718592965,0.889375,"rf","test"
"41",0.95,589,0,215,796,0.732587064676617,1,0.865625,"rf","test"
"42",1,343,0,461,796,0.426616915422886,1,0.711875,"rf","test"
"43",0,1000,1000,0,0,1,0,0.5,"rf","unseen"
"44",0.05,974,644,26,356,0.974,0.356,0.665,"rf","unseen"
"45",0.1,949,402,51,598,0.949,0.598,0.7735,"rf","unseen"
"46",0.15,923,255,77,745,0.923,0.745,0.834,"rf","unseen"
"47",0.2,905,188,95,812,0.905,0.812,0.8585,"rf","unseen"
"48",0.25,890,142,110,858,0.89,0.858,0.874,"rf","unseen"
"49",0.3,871,108,129,892,0.871,0.892,0.8815,"rf","unseen"
"50",0.35,859,87,141,913,0.859,0.913,0.886,"rf","unseen"
"51",0.4,846,75,154,925,0.846,0.925,0.8855,"rf","unseen"
"52",0.45,833,52,167,948,0.833,0.948,0.8905,"rf","unseen"
"53",0.5,824,36,176,964,0.824,0.964,0.894,"rf","unseen"
"54",0.55,817,28,183,972,0.817,0.972,0.8945,"rf","unseen"
"55",0.6,805,19,195,981,0.805,0.981,0.893,"rf","unseen"
"56",0.65,789,14,211,986,0.789,0.986,0.8875,"rf","unseen"
"57",0.7,774,9,226,991,0.774,0.991,0.8825,"rf","unseen"
"58",0.75,757,6,243,994,0.757,0.994,0.8755,"rf","unseen"
"59",0.8,737,4,263,996,0.737,0.996,0.8665,"rf","unseen"
"60",0.85,704,3,296,997,0.704,0.997,0.8505,"rf","unseen"
"61",0.9,669,3,331,997,0.669,0.997,0.833,"rf","unseen"
"62",0.95,575,0,425,1000,0.575,1,0.7875,"rf","unseen"
"63",1,405,0,595,1000,0.405,1,0.7025,"rf","unseen"
"64",0,798,802,0,0,1,0,0.49875,"gbm","dev"
"65",0.05,794,728,4,74,0.994987468671679,0.0922693266832918,0.5425,"gbm","dev"
"66",0.1,759,239,39,563,0.951127819548872,0.701995012468828,0.82625,"gbm","dev"
"67",0.15,746,158,52,644,0.93483709273183,0.802992518703242,0.86875,"gbm","dev"
"68",0.2,741,135,57,667,0.928571428571429,0.831670822942643,0.88,"gbm","dev"
"69",0.25,736,110,62,692,0.922305764411028,0.86284289276808,0.8925,"gbm","dev"
"70",0.3,731,92,67,710,0.916040100250627,0.885286783042394,0.900625,"gbm","dev"
"71",0.35,729,79,69,723,0.913533834586466,0.901496259351621,0.9075,"gbm","dev"
"72",0.4,725,67,73,735,0.908521303258145,0.91645885286783,0.9125,"gbm","dev"
"73",0.45,718,60,80,742,0.899749373433584,0.925187032418953,0.9125,"gbm","dev"
"74",0.5,714,53,84,749,0.894736842105263,0.933915211970075,0.914375,"gbm","dev"
"75",0.55,711,42,87,760,0.890977443609023,0.947630922693267,0.919375,"gbm","dev"
"76",0.6,705,28,93,774,0.883458646616541,0.965087281795511,0.924375,"gbm","dev"
"77",0.65,703,25,95,777,0.880952380952381,0.968827930174564,0.925,"gbm","dev"
"78",0.7,694,21,104,781,0.869674185463659,0.973815461346633,0.921875,"gbm","dev"
